filepath,filename,label,source
sample_data/audio/common_voice_de_23780119__chunk001.wav,common_voice_de_23780119__chunk001.wav,speech,commonvoice
sample_data/audio/common_voice_de_25886118__chunk008.wav,common_voice_de_25886118__chunk008.wav,speech,commonvoice
sample_data/audio/common_voice_de_19068393__chunk001.wav,common_voice_de_19068393__chunk001.wav,speech,commonvoice
sample_data/audio/S04_anger_peak_02.wav,S04_anger_peak_02.wav,nonspeech,vivae
sample_data/audio/common_voice_de_21122029__chunk000.wav,common_voice_de_21122029__chunk000.wav,speech,commonvoice
sample_data/audio/common_voice_de_20794915__chunk007.wav,common_voice_de_20794915__chunk007.wav,speech,commonvoice
sample_data/audio/common_voice_de_26709914__chunk002.wav,common_voice_de_26709914__chunk002.wav,speech,commonvoice
sample_data/audio/S04_achievement_peak_02.wav,S04_achievement_peak_02.wav,nonspeech,vivae
sample_data/audio/S01_surprise_moderate_04.wav,S01_surprise_moderate_04.wav,nonspeech,vivae
sample_data/audio/common_voice_de_18879867__chunk000.wav,common_voice_de_18879867__chunk000.wav,speech,commonvoice
sample_data/audio/common_voice_de_20274760__chunk011.wav,common_voice_de_20274760__chunk011.wav,speech,commonvoice
sample_data/audio/S07_achievement_moderate_03.wav,S07_achievement_moderate_03.wav,nonspeech,vivae
sample_data/audio/common_voice_de_25820532__chunk003.wav,common_voice_de_25820532__chunk003.wav,speech,commonvoice
sample_data/audio/S10_anger_strong_06.wav,S10_anger_strong_06.wav,nonspeech,vivae
sample_data/audio/common_voice_de_19769225__chunk006.wav,common_voice_de_19769225__chunk006.wav,speech,commonvoice
sample_data/audio/common_voice_de_22664053__chunk004.wav,common_voice_de_22664053__chunk004.wav,speech,commonvoice
sample_data/audio/common_voice_de_18879867__chunk007.wav,common_voice_de_18879867__chunk007.wav,speech,commonvoice
sample_data/audio/common_voice_de_28727584__chunk001.wav,common_voice_de_28727584__chunk001.wav,speech,commonvoice
sample_data/audio/S04_pain_low_08.wav,S04_pain_low_08.wav,nonspeech,vivae
sample_data/audio/common_voice_de_23746671__chunk006.wav,common_voice_de_23746671__chunk006.wav,speech,commonvoice
sample_data/audio/S08_pleasure_moderate_06.wav,S08_pleasure_moderate_06.wav,nonspeech,vivae
sample_data/audio/S09_pain_strong_01.wav,S09_pain_strong_01.wav,nonspeech,vivae
sample_data/audio/common_voice_de_19068393__chunk000.wav,common_voice_de_19068393__chunk000.wav,speech,commonvoice
sample_data/audio/common_voice_de_20029850__chunk003.wav,common_voice_de_20029850__chunk003.wav,speech,commonvoice
sample_data/audio/S01_surprise_low_04.wav,S01_surprise_low_04.wav,nonspeech,vivae
sample_data/audio/S02_anger_moderate_03.wav,S02_anger_moderate_03.wav,nonspeech,vivae
